a,啊阿
ai,爱哎唉矮挨哀癌碍艾埃隘蔼皑
an,安按暗案岸俺黯鞍氨胺铵桉谙鹌庵埯揞犴
ang,昂肮盎
ao,奥傲熬凹袄澳懊翱敖嗷
ba,把八爸吧巴罢拔霸坝疤靶扒跋芭叭捌笆耙
bai,白百摆败拜伯柏佰稗
ban,办半班般版板搬伴拌扮斑瓣绊扳颁
bang,帮棒榜绑磅邦膀傍镑蚌梆谤
bao,报保包宝抱爆暴薄饱堡炮胞剥鲍豹苞雹褒刨曝
bei,被北背杯备倍悲辈碑贝卑惫钡狈焙
ben,本奔笨苯犇
beng,蹦崩绷泵甭迸蚌
bi,比必笔壁避毕闭币鼻逼臂弊彼秘辟碧蔽鄙陛毙庇痹敝蓖毖
bian,边变便编遍辨辩鞭贬辫扁卞
biao,表标彪镖婊飙膘裱
bie,别憋瘪鳖
bin,滨宾彬斌濒摈
bing,并病兵冰饼丙屏柄秉炳
bo,播博伯波薄拨脖驳泊卜剥玻勃搏菠膊渤钵柏般铂箔帛舶
bu,不部布步补捕簿怖哺埠卜埔
ca,擦拆嚓
cai,才菜采彩财材猜裁踩蔡睬
can,参餐残惨灿蚕惭掺
cang,藏仓苍舱沧
cao,草操曹槽糙
ce,测策侧册厕恻
cen,参岑
ceng,曾层蹭
cha,查差插察茶叉刹岔茬诧碴搽
chai,拆柴差豺
chan,产缠铲颤蝉掺搀馋阐谗单
chang,长常场唱厂畅尝偿肠倡昌敞裳猖
chao,超吵朝潮炒抄钞嘲巢绰剿
che,车彻撤扯澈掣
chen,陈沉晨臣趁尘衬辰忱郴宸琛嗔谶
cheng,成程城称承乘诚盛橙撑惩呈澄骋逞秤
chi,吃尺持迟池赤齿翅斥痴耻驰匙炽弛侈
chong,重冲充虫宠崇
chou,抽愁丑臭筹仇酬瞅绸稠踌畴
chu,出处除初触楚础储厨锄雏畜橱矗搐滁躇
chuai,揣踹搋
chuan,传船穿串川喘椽
chuang,创窗床闯疮
chui,吹垂锤捶炊椎
chun,春纯唇蠢醇淳椿
chuo,戳绰龊啜辍绰
ci,次此词刺辞慈磁赐瓷雌伺兹疵差茨
cong,从聪丛匆葱囱
cou,凑
cu,粗促醋簇卒
cuan,窜攒篡蹿
cui,催翠脆摧崔粹淬瘁
cun,村存寸
cuo,错措搓挫磋撮
da,大打达答搭哒沓妲耷
dai,带代待戴袋呆逮贷歹殆怠傣
